ID,TRANSMITTER_NAME,MUX_OPERATOR,SERVICE,LATITUDE,LONGITUDE,TRANSMITTER_HEIGHT,CHANNEL,FREQUENCY,TRANSMITTER_POWER,TOTAL_POPULATION,COVERED_POPULATION,PANEL_DIRECTION,PHASE,TRANSMITTER_TYPE
76,"TVRI Nunukan","TVRI  ",Digital,4.1410280000,117.6574390000,65.00,34,578,3.00,0,22016,"75°/4, 165°/6, 255°/4, 345°/2",Digital,Digital
77,"TVRI Melak","TVRI  ",Digital,-0.2307500000,115.8155000000,65.00,31,554,3.00,0,0,"115°/5, 205°/5, 295°/2",Digital,Digital
78,"TVRI Malinau","TVRI  ",Digital,3.5271500000,116.5910940000,65.00,28,530,5.00,0,0,"60°/12 , 240°/6 , 330°/6",Digital,Digital
79,"TVRI Tarakan","TVRI  ",Digital,3.3048220000,117.5951390000,100.00,30,546,3.00,0,194198,"25°/2, 115°/2, 205°/4,  295°/4",Digital,Digital
80,"TVRI Bukit Bakung","TVRI  ",Digital,-8.8187440000,115.1882330000,85.00,30,546,5.00,0,0,"45°/12 ,   315°/12",Digital,Digital
81,"TVRI Mataram","TVRI  ",Digital,-8.5868890000,116.0886580000,45.00,29,538,1.00,0,1636710,"90°/4,   175°/2,   335°/2",Digital,Digital
82,"TVRI Swela","TVRI  ",Digital,-8.5231420000,116.5740440000,65.00,44,658,4.00,0,716283,"45°/2   135°/2   215°/6   315°/2",Digital,Digital
83,"TVRI Pujut","TVRI  ",Digital,-8.8821170000,116.2623670000,62.50,29,538,3.60,0,0,"20°/6  110°/6  290°/6",Digital,Digital
84,"TVRI Oben","TVRI  ",Digital,-10.2704720000,123.6664030000,115.00,29,538,5.00,0,0,"55°/3   145°/2   235°/2   325°/4",Digital,Digital
85,"TVRI Atambua","TVRI  ",Digital,-9.0914810000,124.8637860000,65.00,30,546,2.00,0,0,"0°/2,  90°/6, 180°/3,  270°/1",Digital,Digital
86,"TVRI Soe","TVRI  ",Digital,-9.5280500000,124.2585000000,65.00,28,530,2.50,0,0,"0°/2   90°/6   180°/2   270°/2",Digital,Digital
87,"TVRI  Kefamenanu","TVRI  ",Digital,-9.4603000000,124.4764670000,65.00,32,562,2.00,0,0,"0°/4 , 90°/4 , 180°/4 , 270°/4",Digital,Digital
88,"TVRI Waingapu","TVRI  ",Digital,-9.6768970000,120.1935220000,65.00,28,530,2.00,0,0,"0°/2, 90°/6, 180°/3, 270°/1",Digital,Digital
89,"TVRI Gunung Loka","TVRI  ",Digital,-5.4496830000,119.9169000000,45.00,29,538,2.00,0,0,"105°/6, 195°/6",Digital,Digital
90,"TVRI Makassar","TVRI  ",Digital,-5.1606690000,119.4159220000,150.00,28,530,5.00,0,2717888,"30°/10, 120°/10, 210°/10, 300°/2",Digital,Digital
91,"TVRI Palu","TVRI  ",Digital,-0.8868190000,119.8636690000,105.00,35,586,2.00,0,520365,"65°/3   155°/3   245°/3   335°/3",Digital,Digital
92,"TVRI Kendari","TVRI  ",Digital,-3.9873530000,122.5085060000,100.00,30,546,5.00,0,232858,"60°/2   150°/4   240°/4   330°/6",Digital,Digital
93,"TVRI Wanci","TVRI  ",Digital,-5.2948810000,123.5452310000,60.00,46,674,1.00,0,71810,"105°/2   200°/6   295°/4",Digital,Digital
94,"TVRI Boepinang","TVRI  ",Digital,-4.8214110000,121.6766640000,75.00,46,674,2.00,0,0,"10°/4   100°/4   280°/4",Digital,Digital
95,"TVRI Manado","TVRI  ",Digital,1.4794780000,124.8497280000,100.00,29,538,2.00,0,623028,"55°/4   145°/4   235°/4",Digital,Digital
96,"TVRI Lirung","TVRI  ",Digital,4.0137500000,126.6417830000,40.00,46,674,2.00,0,0,"55°/8   145°/8",Digital,Digital
97,"TVRI Tahuna","TVRI  ",Digital,3.6318170000,125.5143000000,65.00,31,554,1.00,0,0,"70°/8, 160°/8, 225°/4, 340°/4",Digital,Digital
98,"TVRI Gorontalo","TVRI  ",Digital,0.5584610000,123.0487970000,79.00,34,578,2.00,0,612572,"32°/6   103°/2   189°/6   295°/2",Digital,Digital
99,"TVRI Mamuju","TVRI  ",Digital,-2.7138500000,118.8587190000,65.00,28,530,2.50,0,85623,"0°/6,   90°/6,   180°/4",Digital,Digital
100,"TVRI Bukit Greser","TVRI  ",Digital,-3.7196610000,128.1639610000,45.00,28,530,5.00,0,385521,"75°/4   255°/4   345°/4",Digital,Digital
101,"TVRI Ternate","TVRI  ",Digital,0.7897610000,127.3555470000,65.00,28,530,2.00,0,278143,"15°/4   110°/6   215°/2 ",Digital,Digital
102,"TVRI Saumlaki","TVRI  ",Digital,-7.9757330000,131.3059500000,65.00,28,530,2.00,0,0,"40°/6   130°/2   220°/4   310°/4",Digital,Digital
103,"TVRI Bintuni","TVRI  ",Digital,-2.1191670000,133.5371170000,45.00,46,674,2.00,0,0,"0°/2 90°/6 180°/4 270°/4",Digital,Digital
104,"TVRI Polemak","TVRI  ",Digital,-2.5499220000,140.7094280000,100.00,43,650,3.20,0,161995,"20°/2,  120°/2,   220°/8,  300°/4",Digital,Digital
105,"TVRI Tanah Merah","TVRI  ",Digital,-6.0879170000,140.3045830000,35.00,46,674,2.00,0,0,"0°/4,  90°/4,  180°/4,   270°/4",Digital,Digital
107,"Trans7 Nunukan","Trans 7",Digital,4.1394250000,117.6510190000,48.00,28,530000,0.28,0,12000,"4 Arah",Digital,Digital
108,"TVRI Bayah","TVRI  ",Digital,-6.9435560000,106.2555000000,65.00,31,554,1.00,0,240086,"0°/4   300°/8",Digital,Digital
109,"TVRI Gunung Malang","TVRI  ",Digital,-6.7291940000,107.6593330000,65.00,31,554,1.00,0,6027006,"35°/6   345°/6 ",Digital,Unknown
110,"TVRI Gunung Gantungan","TVRI  ",Digital,-7.0701110000,109.2399720000,52.00,28,530,2.50,0,3897440,"45°/6   135°/4   315°/6                                                                                                    ",Digital,Unknown
112,"TVRI Gunung Tugel","TVRI  ",Digital,-7.7109720000,109.9133610000,65.00,28,530,1.00,0,1855448,"30°/4 , 120°/4 , 210°/4 , 300°/4",Digital,Digital
114,"TVRI Gunung Gending","TVRI  ",Digital,-8.2537780000,113.9352220000,85.00,29,538,1.00,0,3230027,"0°/3, 90°/3, 180°/3, 270°/3      ",Digital,Digital
115,"TVRI Kota Bumi","TVRI  ",Digital,-4.7025000000,104.7841670000,65.00,31,554,1.00,0,1319866,"45°/6, 135°/2, 225°/2, 315°/6",Digital,Digital
116,"TVRI Langsa","TVRI  ",Digital,4.5186470000,97.9334860000,100.00,29,538,2.50,0,701618,"40°/2,  140°/6,  220°/4,   310°/4   ",Digital,Digital
117,"TVRI Sabang","TVRI  ",Digital,5.8552780000,95.3358330000,55.00,35,586,1.00,0,31430,"140°/3   190°/4   320°/4",Digital,Digital
118,"TVRI Makadae","TVRI  ",Digital,-3.9502780000,119.6777780000,65.00,28,530,2.50,0,833940,"40°/8, 110°/2, 220°/2, 310°/4",Digital,Digital
